Overheid,Regeling,Ontvanger,Beleid,Realisatie,Jaar
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Universiteit van Tilburg,2.3,64000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,Universiteit voor Humanistiek,1.1,15000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Vastgoed Belang,2.1,112000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Veiligheidsregio Twente,7.1,75000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Ver van Nederlandse Gemeenten,6.4,105000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Ver van Nederlandse Gemeenten,2.1,5000000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Vereniging de Brede Stroomversnelling,2.1,375000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Vereniging Energie Nederland,1.2,12000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Vereniging re kreators,2.3,25000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Vereniging van Griffiers,7.1,112000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,Vereniging voor Bestuurskunde,1.1,6000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Vereniging voor Overheidsmanagement,7.1,115000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Tijdelijke regeling Blok voor Blok,Verzamelverplichting,2.1,286000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,VNG,1.1,1340000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,VNG,6.2,570000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,VNG Afdeling Groningen,7.1,150000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Volkspartij v Vrijheid en Democratie,1.2,3861000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,VVE Belang,2.1,83000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,VVE Belang,2.2,62000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Wethoudersvereniging,7.1,659000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Saneringsbijdrage woningcorporatie WSG,Woningstichting Geertruidenberg (WSG),1.1,8367000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Woningstichting Heemwonen,2.1,450000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,X,1.2,3000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,X,1.2,1000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,x,2.1,40000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Tijdelijke subsidieregeling IUCN tbv DCNA,St Nederlands Comite voor IUCN,2.2,938000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overig niet onder regeling vallend,Stichting PUM,2.2,48000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AFLA - AFRICA LEGAL AID,2,20000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AFRIKA STUDIECENTRUM (ASC),2,41530,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AGENCY FOR REGIONAL DEVELOPMENT,1,39992,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AGENTIA DE DEZVOLTARE COMUNITARA 'IMPREUNA',4,39840,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AKTIS STRATEGY LTD,2,1452884,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ALSAT-M DOO,4,90624,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ANNE FRANK STICHTING,1,135729.5,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ANNE FRANK STICHTING,2,61176,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ARAB INSTITUTE FOR SECURITY STUDIES,2,19999.98,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2014,ARTICLE 19,1,237023,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ASOCIATIA TELEFONUL COPILULUI,4,24998,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ASSOCIATION DE SOUTIEN AUX MEDIAS LIBRES,4,120000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ASSOCIATION OF INDEPENDENT PRESS / (API) ASSOCIATIA PRESEI INDEPENDENTE,1,32520,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AUSCHWITZ BIRKENAU STATE MUSEUM,4,22880,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AUSCHWITZ INSTITUTE FOR PEACE AND RECONCILIATION,1,75000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,AWEPA,2,697869,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,BALTIC HUMAN RIGHTS SOCIETY,4,60000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,BERGHOF FOUNDATION,1,46801.95,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,BIRN - BALKAN INVESTIGATIVE REPORTING NETWORK / BALKANSKA ISTRAZIVACKA MREZA,2,99980,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,BULGARIAN JUDGES ASSOCIATION,4,46434,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,BURMA CENTRUM NEDERLAND,1,64000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CARLETON UNIVERSITY,7,48674.04,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CARNEGIE-STICHTING VREDESPALEIS,1,7341899,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CARPO / CENTER FOR APPLIED RESEARCH IN PARTNERSHIP WITH THE ORIENT E.V.,4,45000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CENTER FOR RESEARCH AND SECURITY STUDIES,2,212402.94,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CENTRE FOR ANALYSIS AND PREVENTION OF CORRUPTION / AO CENTRUL DE ANALIZA SI PREVENIRE A CORUPTIEI,2,43340,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CENTRE FOR POVERTY ANALYSIS (CEPA),4,63000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CEPS - CENTRE FOR EUROPEAN POLICY STUDIES,4,70000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CESS - CENTRE FOR EUROPEAN SECURITY STUDIES,2,50311,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CILC - CENTER FOR INTERNATIONAL LEGAL COOPERATION,2,200000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CIVIL AND SOCIAL RELIEF ORGANIZATION,2,862450,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CLINGENDAEL,1,190289,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CLINGENDAEL,2,770000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CLINGENDAEL,4,2418815,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2014,COC NEDERLAND,1,385586,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine activiteiten MRF 2013,COC NEDERLAND,1,24250,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,COC NEDERLAND,1,302135,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CONCERN,4,30850,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CONCILIATION RESOURCES,2,16303,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CONSILIUL SUPERIOR AL MAGISTRATURII (ROMANIA),4,40000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CORDELIA FOUNDATION,4,52000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CREDO,2,36000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CTA ECONOMIC AND EXPORT ANALYSTS LTD,4,57500,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CULT.VERDRAG NED.VLAANDEREN,4,61300,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CUNY-CITY UNIVERSITY NEW YORK-THE GRADUATE CENTER-GCR2P,1,230000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,CYPRUS AUTOMOBILE ASSOCIATION,4,45000,2015
Ministerie van Buitenlandse Zaken,Ontmijningstender 2013-2016,DAN CHURCH AID (DCA),2,488104,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DANISH INSTITUTE AGAINST TORTURE (DIGNITY),1,15000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DANISH REFUGEE COUNCIL,2,308548,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DCAF-GENEVA CENTRE DEMOCRATIC CONTROL ARMED FORCES,2,795754,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DEFENCE FOR CHILDREN INTERNATIONAL,1,2930000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DEFENCE FOR CHILDREN INTERNATIONAL,2,121576,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2011,DEMOCRATIC PROGRESS INSTITUTE - DPI,1,37800,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DEVOLUTION TRUST FOR COMMUNITY EMPOWERMENT DTCE,2,308745.76,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DIPLO FOUNDATION,2,28500,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DUMMY,1,27872,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,DUTCH CENTRE FOR INTERNATIONAL CULTURAL COLLABORATION - DCICC,4,913900,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,EAST&HORN OF AFRICA HUMAN RIGHTS DEFENDERS PROJECT,1,108185,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ECF (ECONOMIC COORPERATION FOUNDATION),2,192600,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EOTVOS KAROLY POLICY INSTITUTE,4,46200,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EURASIA PARTNERSHIP FOUNDATION,4,160225,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EUROMED FEMINIST INITIATIVE (EFI-IFE),1,50000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EUROPEAN COUNCIL ON FOREIGN RELATIONS,4,59500,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EUROPEAN Institute for Peace ,2,125000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EUROPEAN INSTITUTE OF PUBLIC ADMINISTRATION (EIPA),3,348000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EUROPEAN UNIVERSITY VIADRINA,2,92130.46,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,EYE FILM INSTITUUT NEDERLAND,4,25000,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2012,FAIR WEAR FOUNDATION,1,378053.75,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,FIDH,1,13500,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015/2016,FORUM 18 NEWS SERVICES,1,135970,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,FORUM 18 NEWS SERVICES,1,60821,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,FOUNDATION LINKING MEDIA,1,35000,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2012,FREE PRESS UNLIMITED,1,500638,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,FREE PRESS UNLIMITED,1,118727,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,FREE PRESS UNLIMITED,1,931832,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,FREE PRESS UNLIMITED,2,451540,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2012,FREEDOM HOUSE,1,148143.56,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015/2016,FRONT LINE,1,360000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GCERF GLOBAL COMMUNITY ENGAGEMENT AND RESILIENCE FUND,2,499500,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GCSD- GEORGIAN CENTER FOR SECURITY AND DEVELOPMENT,4,54056,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GEMEENTE DEN HAAG,4,59000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GENDER CONCERNS INTERNATIONAL,1,177153,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GERMAN-RUSSIAN EXCHANGE,4,84978,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GICHD/CIDHG GENEVA INTERN.CENTRE FOR HUMAN. DEMINING,2,99999.94,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GLOBAL CENTER ON COOPERATIVE SECURITY,2,111000,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2012,GLOBAL HUMAN RIGHTS DEFENCE (GHRD),1,157095,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GLOBAL MARCH AGAINST CHILD LABOUR,1,400000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GLOBAL PARTNERS AND ASSOCIATES,2,699560.78,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GREAT BRITAIN CHINA CENTRE,1,284721,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,GREENHOST,1,233962,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HAGUE INST. FOR THE INTERNATIONALISATION OF LAW,2,200000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HAGUE INST. FOR THE INTERNATIONALISATION OF LAW,4,44068,2015
Ministerie van Buitenlandse Zaken,Ontmijningstender 2013-2016,HANDICAP INTERNATIONAL,2,423434,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HANDICAP INTERNATIONAL,2,935000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HEDAYAH,2,113167.14,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2011,HELSINKI COMMITTEE,1,167865,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2014,HELSINKI COMMITTEE,1,584619.5,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HELSINKI COMMITTEE,1,127711,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HELSINKI COMMITTEE,2,157600,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HELSINKI COMMITTEE,4,36000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HENRY L. STIMSON CENTER,2,59200,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HET NIEUWE INSTITUUT,4,77500,2015
Ministerie van Buitenlandse Zaken,Besluit MRF 2012,HIVOS,1,340350,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HIVOS,1,900000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HUMAN RIGHTS CENTER VIASNA,1,99855,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HUMAN RIGHTS CENTER VIASNA,4,57576,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,HUMAN SECURITY COLLECTIVE,2,122040,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INDEPENDENT ANALYTICAL CENTRE EXPERT GROUP,2,45193.9,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INST.PRIVATA CENTRUL DE REABILITARE A VICTIMELOR TORTURII 'MEMORIA',1,56250,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INSTITUTE FOR GLOBAL JUSTICE,4,20000,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,INSTITUTE FOR HUMAN RIGHTS AND BUSINESS,1,127500,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INSTITUTE FOR HUMAN RIGHTS AND BUSINESS,1,64260,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INSTITUTE FOR PENAL REFORM,2,49205,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INSTITUTE FOR PUBLIC POLICY,1,29528,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INSTITUTE FOR PUBLIC POLICY,2,47168,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INSTITUTE OF JUDAICA,1,20744,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INTERNATIONAL COMMISSION OF JURISTS,1,400000,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,INTERNATIONAL FILM FESTIVAL,1,127500,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INTERNATIONAL JUSTICE PROJECT (I.J.P.),1,75996.9,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,"INTERNATIONAL PEACE INSTITUTE, INC",1,220000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,INTERNATIONAL PEACEBUILDING ALLIANCE-INTERPEACE,2,296000,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015/2016,INTERNATIONAL RESEARCH AND EXCHANGES BOARD INC.,1,249999.38,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,INTERNEWS EUROPE,1,140000,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,ISS-INSTITUTE FOR SECURITY STUDIES/INSTITUT D'ETUDES DE SECURITE,2,880000,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,IWPR - INSTITUTE FOR WAR AND PEACE REPORTING,1,77200,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,IWPR - INSTITUTE FOR WAR AND PEACE REPORTING,2,420126,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,JAN VRIJMAN FONDS,1,142500,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,JUSTICE RAPID RESPONSE ASSOCIATION (JRR),1,200000,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine activiteiten MRF 2013,JUSTITIA ET PAX,1,237030,2015
Ministerie van Buitenlandse Zaken,Publicatie Kleine Activiteiten MRF 2015,JUSTITIA ET PAX,1,50540,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,JUSTITIA ET PAX,1,47400,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,KOFI ANNAN FOUNDATION,2,247160,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,LEBANESE ORGANIZATION OF STUDIES AND TRAINING,2,93982.96,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,LEIDEN MODEL UNITED NATIONS (LEIDEN MUN),4,4000,2015
Ministerie van Buitenlandse Zaken,Ontmijningstender 2013-2016,MAG - THE MINES ADVISORY GROUP,2,959013.36,2015
Ministerie van Buitenlandse Zaken,Subsidieregeling BZ 2006,MAG - THE MINES ADVISORY GROUP,2,950000,2015
