AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
Rijkswaterstaat Data-ICT-Dienst,5407590,Derde Werelddreef 1,Delft,2622 HA,Nederland,http://www.rijkswaterstaat.nl/
Ons Middelbaar Onderwijs p/a Het Onderwijskantoor,432084726,Akerstraat 104,Heerlen,6417 BN,Nederland,http://www.omo.nl
Openbaar Onderwijs Groep Groningen,592069822,Leonard Springerlaan 39,GRONINGEN,9727KB,Nederland,http://www.openbaaronderwijsgroepgroningen.nl
Stichting Openbaar Scholennetwerk De Basis Heerenveen,241635471,Van Leeuwenhoekweg 10,Oudeschoot,8451 CN,Nederland,http://www.debasisheerenveen.nl
Gemeente Groningen,461770445,Gedempte Zuiderdiep 98,GRONINGEN,9711 HL,Nederland,http://www.rigg.nl
Politie,111668359,Ringwade 51,Nieuwegein,3439LM,Nederland,http://www.politie.nl
RWM N.V.,44368419,Millenerweg 6,SITTARD,6136KW,Nederland,http://www.rwm.nl
waterschap Hoogheemraadschap De Stichtse Rijnlanden,481695372,3994DD 2,HOUTEN,3994DD,Nederland,
Stichting Katholieke Onderwijsbelangen Rivierenland,25562789,Hondsroos 4,TIEL,4007TJ,Nederland,
Anculus namens Stichting Alkmaarse Katholieke Scholen,1605571,Bogert 31,Eindhoven,5612LX,Nederland,http://www.anculus.nl
GVB Infra B.V.,19664070,Arlandaweg 106,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Gemeente Stein,381910534,Stadhouderslaan 200,STEIN,6171KP,Nederland,http://www.gemeentestein.nl
HZ / HZ University of Applied Sciences,12565995,Edisonweg 4,VLISSINGEN,4382NW,Nederland,http://www.hz.nl
N.V. Deventer Schouwburg,422190989,Leeuwenbrug 2,DEVENTER,7411TJ,Nederland,http://www.deventerschouwburg.nl
Openbaar Lichaam Afvalstoffenverwijdering Zeeland,22591624,4501BD 22,OOSTBURG,4501BD,Nederland,
Gemeente Noord-Beveland,222062571,Voorstraat 31,Wissenkerke,4491 EV,Nederland,http://www.noord-beveland.nl
Gemeente Leek,142082226,9351 BJ 66,Leek,9351 BJ,Nederland,
Eneco Wind B.V.,262149085,Marten Meesweg 5,Rotterdam,3068 AV,Nederland,http://www.eneco.nl
Leeuwenborgh Training- en Opleidingscentrum Sittard B.V.,81592885,Sibemaweg 20,Maastricht,6224 DC,Nederland,http://www.leeuwenborgh.nl
Willibrord Stichting,51633259,3563 AW 66,Utrecht,3563 AW,Nederland,
Openbaar Onderwijs Oost Groningen/OBS de Noordkaap,191868085,Huningaweg 8,OOSTWOLD,9682PB,Nederland,http://www.sooog.nl
Stichting voor PC/RK Primair Onderwijs Middelburg/Vlissingen,471654899,Alexander Gogelweg 65,VLISSINGEN,4384EV,Nederland,
Stichting Hogeschool voor de Kunsten/HKU,291972690,Lange Viestraat 2,Utrecht,3511bk,Nederland,http://hku.nl
Gemeente Leidschendam-Voorburg,111792390,Postbus 1005,Leidschendam,2260 AB,Nederland,http://www.leidschendam-voorburg.nl
Gemeente Goeree-Overflakkee,131735203,Koninging Julianaweg 45,Middelharnis,3241 XB,Nederland,http://www.goeree-overflakkee.nl
Gemeente Ermelo p/a PSI,56341363,Wipstrikkerallee 95,Zwolle,8023DW,Nederland,
Milieudienst IJmond,441796826,Stationsplein 48,BEVERWIJK,1948LC,Nederland,http://www.milieudienst-ijmond.nl
Gemeente Albrandswaard en Ridderkerk,421705862,Hofhoek 5,ALbrandswaard,3176PD,Nederland,http://www.albrandswaard.nl
GVB Exploitatie BV,5953591,Arlandaweg 106,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Christelijke Hogeschool Ede,71663234,Oude Kerkweg 100,Ede,6717 JS,Nederland,http://www.che.nl
Belastingsamenwerking Gouwe-Rijnland p/a Holland Tender Partners,452112899,Stinzenlaan Zuid 219,Breukelen,3621 TC,Nederland,http://www.bsgr.nl
Gemeenten Meppel en Westerveld,39462060,Grote Oever 26,Meppel,7941 BJ,Nederland,http://www.meppel.nl
Gemeente Voerendaal,41693646,Raadhuisplen 1,Voerendaal,6367 ED,Nederland,http://www.voerendaal.nl
"Ministerie van Economische Zaken, Rijksdienst voor Ondernemend Nederland (RVO.nl)",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.rvo.nl
Het Service Centrum,521718727,Ringbaan West 227,Tilburg,5037PC,Nederland,
Gemeente Nederweert,81905231,Raadhuisplein 1,NEDERWEERT,6031VR,Nederland,http://www.nederweert.nl
Veiligheidsregio Twente,441589314,Spaansland 20,ENSCHEDE,7543 BG,Nederland,http://www.vrtwente.nl
Ministerie van Buitenlandse Zaken,5910447,Bezuidenhoutseweg 67,Den Haag,2594 AC,Nederland,http://www.government.nl/ministries/bz
Stichting voor Educatie en Beroepsonderwijs,262060268,Buitenrustlaan 9,HAARLEM,2012 BL,Nederland,http://www.novacollege.nl
"Ministerie van Economische Zaken, Rijksdiesnt voor Ondernemend Nederland",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.rvo.nl/subsidies-regelingen/aanbesteden-van-innovaties-sbir
Stichting Primair Onderwijs De Liemers,938615,6902PT 21,ZEVENAAR,6902PT,Nederland,
Islamitische Basisschool El Habib,9655294,Silexstraat 41,MAASTRICHT,6216XB,Nederland,http://www.elhabib.nl
Inkoop Uitvoeringscentrum Dienst JustitiÃƒÂ«le Inrichtingen (IUC DJI),3814225,Bezuidenhoutseweg 20,Den Haag,2594 AV,Nederland,http://www.dji.nl
Vereniging van Nederlandse Gemeenten,2577670,Nassaulaan 12,S-GRAVENHAGE,2514JS,Nederland,http://www.vng.nl
Stichting voor Interconfessioneel en Algemeen Bijzonder Voortgezet Onderwijs te Rotterdam e.o.,181707643,Henegouwerplein 16,ROTTERDAM,3021PM,Nederland,http://www.lmc-vo.nl
Gemeente Eijsden-Margraten,162053899,Amerikaplein 1,Margraten,6269 DA,Nederland,http://www.eijsden-margraten.nl
Stichting Regionale Omroep Overleg en Samenwerking,361574066,Mart Smeetslaan 2,HILVERSUM,1217ZE,Nederland,http://www.roosrtv.nl
Stichting Kempenhaeghe/De Berkenschutse,4813580,5591VE 65,HEEZE,5591VE,Nederland,
Cogas Energie,431677658,Rohofstraat 83,ALMELO,7605AT,Nederland,http://www.cogas.nl
Het Openbaar Lichaam Drechtsteden,32681913,Noordendijk 248,DORDRECHT,3311RR,Nederland,http://www.drechtsteden.nl
HSC tbv GGD Hart voor Brabant en GGD West Brabant,521718727,Ringbaan West 227,Tilburg,5037 PC,Nederland,http://www.ggdhvb.nl
Stichting voor openbaar voortgezet onderwijs van Wageningen en omstreken,37460966,Hollandseweg 9,WAGENINGEN,6706KN,Nederland,http://www.pantarijn.nl
de Vrije School Noord en Oost Nederland,52668912,Tengnagelshoek 9,ZUTPHEN,7201NE,Nederland,
Gemeente Druten,251867901,p.a. Arcadialaan 36,Alkmaar,1810KA,Nederland,http://www.druten.nl
Gemeente Bloemendaal,372061297,Bloemendaalseweg 158,Overveen,2051 GJ,Nederland,http://www.bloemendaal.nl
RID De Liemers namens de gemeente Zevenaar,161596305,p/a Kastanjelaan 3,DUIVEN,6921ER,Nederland,
Atlant Groep,442013547,Montgomeryplein 6,Helmond,5704 AX,Nederland,http://www.atlantgroep.nl
"Ministerie van Sociale Zaken en Werkgelegenheid, Agentschap SZW",19637402,Rijnstraat 30,Den Haag,2515 XP,Nederland,http://www.rijksoverheid.nl/ministeries/szw
Immigratie en Naturalisatiedienst en Centraal Orgaan opvang asielzoekers,37648401,Dr. H. Colijnlaan 306,Rijswijk,2283 ZH,Nederland,http://www.coa.nl
Pro Mereor B.V. (namens deelnemende onderwijsinstellingen),431759209,Burgemeester Weertsstraat 69,Arnhem,6814 HM,Nederland,http://www.pro-mereor.nl
"Veiligheidsregio Flevoland, Gooi en Vechtstreek en Utrecht",291995940,p/a Postbus 1015,Alkmaar,1810 KA,Nederland,
Voedingscentrum Nederland,2774529,Eisenhowerlaan 108,S-GRAVENHAGE,2517KL,Nederland,http://www.voedingscentrum.nl
Weener XL,491878990,Van Herpensweide 1,s-Hertogenbosch,5231 VL,Nederland,http://www.weenerxl.nl
ZonMW,361742059,Ln van Nieuw-Oost-Indie 334,S-GRAVENHAGE,2593CE,Nederland,http://www.zonmw.nl
GVB Holding N.V.,431870158,Arlandaweg 100,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Gemeente Nissewaard,15694507,Raadhuislaan 106,Spijkenisse,3201 EL,Nederland,http://www.nissewaard.nl
Ministerie van Infrastructuur en Milieu namens de Rijksoverheid,211946370,Koningskade 4,Den Haag,2596 AA,Nederland,
"Gemeente Amsterdam, Grond en Ontwikkeling (voormalig Ontwikkelingsbedrijf)",471769829,Weesperplein 8,Amsterdam,1018XA,Nederland,https://www.amsterdam.nl/houthaven
Natuur- en Recreatieschap Zuidwestelijke Delta,401942195,Overschieseweg 204,SCHIEDAM,3112NB,Nederland,http://www.heerlijkbuiten.nl
NS Financial Services Company,41680548,Lower Mount Street 10,Dublin 2,Behan House,Ierland,http://www.nsfsc.com
Gemeente Tiel,680004,p/a J.S. de Jongplein 2,TIEL,4001 WG,Nederland,http://www.tiel.nl
Stichting Protestants Christelijk Onderwijs Gelderse Vallei,44474057,Varenkamp 3,BARNEVELD,3773CL,Nederland,http://www.pcogeldersevallei.nl
Gemeente Den Helder,391946993,Drs. F. Bijlweg 20,Den Helder,1784MC,Nederland,http://www.tenderned.nl
Regio Noord-Veluwe p/a PSI,56341363,Wipstrikkerallee 95,Zwolle,8023 DW,Nederland,
BIJ12,191745967,Leidseveer 2,Utrecht,3511 SB,Nederland,http://www.bij12.nl
N.V. ROVA Holding,91861058,Steinfurtstraat 2,ZWOLLE,8028PP,Nederland,http://www.rova.nl
Stichting Voortgezet Onderwijs Amsterdam Zuid,521693245,Beethovenplein 2,AMSTERDAM,1077WM,Nederland,http://www.nicolaas.nl
Stichting Openbaar Primair Onderwijs Borger-Odoorn,733797,De Baander 2,BORGER,9531MC,Nederland,http://www.opoborger-odoorn.nl
Cedris,132081902,p/a Arcadialaan 36,Alkmaar,1813 KN,Nederland,http://www.cedris.nl
Inkooporganisatie Jeugdhulp Zeeland,25737522,Westwal 37,Goes,4461 CM,Nederland,http://www.inkoopjeugdhulpzeeland.nl
Veiligheidsregio Noord Holland Noord,61711067,p/a Arcadialaan 36,ALKMAAR,1813KN,Nederland,http://www.veiligheidsregio-nhn.nl
"Gemeente Amsterdam, V&OR",12034981,Weesperplein 8,Amsterdam,1018 DN,Nederland,http://www.amsterdam.nl/
"Gemeenschappelijke regeling Veiligheidsregio Brabant-Noord, onderdeel Brandweer",32666710,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,http://www.brandweer.nl/brabant-noord/
Stichting Deltion College,71609732,Mozartlaan 15,ZWOLLE,8031AA,Nederland,http://www.deltion.nl
Gemeenschappelijke Regeling Nieuw Reijerwaard,192125297,Verbindingsweg 38 1,RIDDERKERK,2988CE,Nederland,http://www.nieuwreijerwaard.eu
"Gemeente Dongeradeel, Dantumadiel, Kollumerland ca, Schiermonnikoog en Ferwerderadiel",51682937,Koningstraat 13,Dokkum,9101LP,Nederland,http://www.dongeradeel.nl
Veiligheidsregio Kennemerland,6236577,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,http://www.vrk.nl
De Politie,21868710,Ringwade 51,Nieuwegein,3439LM,Nederland,http://www.politie.nl/
Gemeente Culemborg,532179146,p/a J.S. de Jongplein 2,TIEL,4001 WG,Nederland,http://www.culemborg.nl
Gemeente Brielle,51739469,Slagveld 36,BRIELLE,3231AP,Nederland,http://www.brielle.nl
Recreatie Midden-Nederland,241649082,Kanaalweg 95,Utrecht,3533HH,Nederland,http://www.recreatiemiddennederland.nl
Gemeente Oldambt p/a Combined Business Power (CBP) B.V.,132170319,Zonnedauw 3,Apeldoorn,7322 EA,Nederland,http://www.cbp.nl
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties -Logius-,41335830,Turfmarkt 147,Den Haag,2511 DP,Nederland,http://www.rijksoverheid.nl/ministeries/bzk
Gemeente Haren,222149447,Raadhuisplein 10,Haren,9750 AA,Nederland,http://www.haren.nl
Vereniging van Nederlandse Gemeenten,2577670,Nassaulaan 12,S-GRAVENHAGE,2514JS,Nederland,http://www.gemeentelijketelecommunicatie.nl
Havensteder,501878398,Scheepmakerspassage 1,ROTTERDAM,3011VH,Nederland,http://www.havensteder.nl
Veiligheidsregio IJsselland,501670931,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,http://www.vrijsselland.nl
SURFnet B.V.,412239709,3511EP 48,UTRECHT,3511EP,Nederland,
Gemeente Neder Betuwe,61692057,Burg Lodderstraat 20,OPHEUSDEN,4043KM,Nederland,http://www.nederbetuwe.nl
Thialf B.V.,31890455,Pim Mulierlaan 1,HEERENVEEN,8443DA,Nederland,http://www.thialf.nl
Aeres groep,161639497,6717 XA 27,Ede gld,6717 XA,Nederland,
Gemeente Leeuwarden,61769470,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,http://www.leeuwarden.nl
Gemeente Haarlem,50647371,Gedempte Oude Gracht 2 39,Haarlem,2011 GW,Nederland,http://www.haarlem.nl
Havenbedrijf Rotterdam NV,53367972,Wilhelminakade 909,Rotterdam,3072 AP,Nederland,https://www.portofrotterdam.com/nl/port-waste-catch
Stichting Roelof van Echten,591782515,Sportveldenweg 20,HOOGEVEEN,7902 NX,Nederland,http://www.rvec.nl
Politie,111668359,3439 LM 51,Nieuwegein,3439 LM,Nederland,
ROVA Activa Beheer B.V.,591853699,Steinfurtstraat 2,ZWOLLE,8028PP,Nederland,http://www.rova.nl
"Rijkswaterstaat Water, Verkeer en Leefomgeving",482071032,Zuiderwagenplein 2,Lelystad,8224 AD,Nederland,http://www.rijkswaterstaat.nl
Stichting kom Leren,572031672,Oranjeplein 201,MAASTRICHT,6224KV,Nederland,http://www.kom-leren.nl
Altra Centraal Bureau en Altra Jeugd- en Opvoedhulp,81785084,Rode Kruisstraat 32,AMSTERDAM,1025KN,Nederland,http://www.altra.nl
Gemeente Rheden,1282073,Hoofdstraat 3,DE STEEG,6994AB,Nederland,http://www.rheden.nl
Ministerie van Defensie,53688887,"p/a Ministerie van Algemene Zaken, DPC, Buitenhof 34",DEN HAAG,2513 AH,Nederland,http://www.rijksoverheid.nl/dpc
Gemeente Hollands Kroon,341952762,1761VM 1,ANNA PAULOWNA,1761VM,Nederland,
Stichting Fontys,391650280,Het Eeuwsel 2,Eindhoven,5612 AS,Nederland,http://www.fontys.nl/inkoop
Stg Prot Chr PO te Capelle aan den IJssel en Krimpen aan den IJssel,372090991,Kanaalweg 67,CAPELLE AAN DEN IJSSEL,2903LR,Nederland,http://www.stichtingpcpo.nl
Diamant-groep Concern,472072423,Zevenheuvelenweg 14,TILBURG,5048AN,Nederland,http://www.diamant-groep.nl
Da Vinci College,422001134,Leerparkpromenade 100,DORDRECHT,3312KW,Nederland,http://www.davinci.nl
Gemeente Oirschot,182158371,5688 AK 3,Oirschot,5688 AK,Nederland,
Gemeente Waterland,20645788,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,
Gemeente Emmen,31443820,Raadhuisplein 1,EMMEN,7811 AP,Nederland,http://gemeente.emmen.nl
Christelijke Scholengemeenschap De Lage Waard,62171523,Vijzellaan 4,PAPENDRECHT,3352VH,Nederland,http://www.delagewaard.nl
"Stichting Paleis Het Loo, Nationaal Museum",121864294,Koninklijk Park 1,APELDOORN,7315JA,Nederland,http://www.paleishetloo.nl
Gemeente Almelo,3720748,Stadhuisplein 1,Almelo,7607 EK,Nederland,http://www.almelo.nl
Stichting Fioretti Teylingen,25709719,Leidsevaart 4,Voorhout,2215 RE,Nederland,http://www.stichtingfiorettiteylingen.nl
Stichting voor Protestants Christelijk Onderwijs Dronten-Zeewolde,572004841,De Drieslag 30,DRONTEN,8251JZ,Nederland,http://www.codenz.nl
Stichting Intermaris,292239824,Maelsonstraat 12,HOORN,1624NP,Nederland,http://www.intermaris.nl
Stichting voor Protestants Christelijk Voortgezet Onderwijs in Gouda en omgeving,482170453,Kanaalstraat 31,GOUDA,2801SH,Nederland,http://www.degoudsewaarden.nl
Stichting Voortgezet Onderwijs De Vechtstreek,5518944,Industrieweg 10,MAARSSEN,3606 AS,Nederland,
Gemeente Oldambt,132170319,Johan Modastraat 6,Winschoten,9670 AD,Nederland,http://www.gemeente-oldambt.nl
Gemeente Alkmaar,22159309,Mallegatsplein 10,ALKMAAR,1815AG,Nederland,http://www.alkmaar.nl
"Gemeente Hoogeveen namens gemeenten de Wolden, Meppel, Staphorst, Westerveld en Zwartewaterland",72215824,Raadhuisplein 24,Hoogeveen,7901 BW,Nederland,http://www.hoogeveen.nl
Grondexploitatiemaatschappij Meerstad,561900454,Waterviolier 2,Meerstad,9613BH,Nederland,http://www.meerstad.eu
"Gemeente Amsterdam, Grond en Ontwikkeling (voormalig Ontwikkelingsbedrijf)",471769829,Weesperplein 8,Amsterdam,1018XA,Nederland,https://www.amsterdam.nl/gemeente/organisatie/ruimte-economie/grond-ontwikkeling-0/
Vereniging voor Christelijk Primair Onderwijs en Stichting Prokind Scholengroep,22670499,Anne Frankstraat 26,Spijkenisse,3207 GA,Nederland,
Veiligheidsregio Utrecht,291995940,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,
Scholengroep Den Haag Zuid-West,542093764,Beresteinlaan 627,S-GRAVENHAGE,2542JR,Nederland,http://www.sgzuidwest.org
"Gemeenten Buren, Culemborg, Geldermalsen, Lingewaal, Neder-Betuwe,Tiel en Zaltbommel",161676310,p/a J.S. de Jongplein 2,Tiel,4001 WG,Nederland,http://www.regiorivierenland.nl
"Koningin Wilhelmina College, locatie Beethovenlaan",81681550,Beethovenlaan 1,CULEMBORG,4102BM,Nederland,http://www.kwc-culemborg.nl
Stichting Openbaar Onderwijs Groep Groningen,592069822,Leonard Springerlaan 39,GRONINGEN,9727KB,Nederland,http://www.openbaaronderwijsgroepgroningen.nl
PGV Nederland,21599859,Adriaen van Ostaedelaan 40,Utrecht,3583 AM,Nederland,http://www.ggd.nl
Kamer van Koophandel,41638054,St. Jacobsstraat 300,Utrecht,3511 BT,Nederland,http://www.kvk.nl
Vereniging Meetbedrijven Nederland,51549268,Johannes Geradtsweg 17,HILVERSUM,1222PK,Nederland,http://www.vmned.nl/
Natuur- en Recreatieschap Dobbeplas,33626331,Overschieseweg 204,SCHIEDAM,3112NB,Nederland,http://www.recreatiezuidholland.nl
Samenwerkingsverband Collectief Vervoer Zeeuwsch-Vlaanderen,351960999,Stadhuisplein 1,TERNEUZEN,4531GZ,Nederland,http://www.taxi-com.nl
Anculus namens Stichting OPMAAT,421778772,Bogert 31,Eindhoven,5612LX,Nederland,http://www.anculus.nl
Gemeente Heeze-Leende,272148479,5591 HS 2,Heeze,5591 HS,Nederland,
Stichting Openbaar Voortgezet Onderwijs Zaanstad,51748938,Stationsstraat 77,ZAANDAM,1506DE,Nederland,http://www.ovo-zaanstad.nl
Gemeente De Fryske Marren,152006451,Herema State 1,JOURE,8501AA,Nederland,http://www.defryskemarren.nl
Samenwerkende gemeenten regio Rivierenland,31703272,Dijkstraat 11,Beneden-Leeuwen,6658 AG,Nederland,http://www.RivierenlandKanMeer.nl
Stichting Nidos,211898033,Maliebaan 99,UTRECHT,3581CH,Nederland,http://www.nidos.nl
Samenwerkingsverband Welzijnszorg Oosterschelderegio,31881164,Stationspark 27,Goes,4462 DZ,Nederland,http://www.swvo.nl
Gemeente Krimpenerwaard,121785175,Dorpsplein 8,STOLWIJK,2821AS,Nederland,http://www.Krimpenerwaard.nl
Gemeente Hollands Kroon,341952762,De Verwachting 1,ANNA PAULOWNA,1761 VM,Nederland,http://www.hollandskroon.nl
Ministerie van Infrastructuur en Milieu,211946370,Koningskade 4,Den Haag,2596 AA,Nederland,http://beterbenutten.nl/imma
Regionale Belasting Groep,512113385,Spoorstraat 7,Schiedam,3112 HD,Nederland,http://www.derbg.nl
Gemeente Dinkelland,471690000,7591MA 5,DENEKAMP,7591MA,Nederland,
Stichting Katholieke Universiteit,161870503,6525 EZ 9,Nijmegen,6525 EZ,Nederland,
"Stichting het Nederlands Openluchtmuseum, Nationaal Museum voor Nederlandse Volkskunde",151631971,Hoeferlaan 4,ARNHEM,6816SG,Nederland,http://www.openluchtmuseum.nl
Fontys Hogescholen,391650280,Postbus 347,Eindhoven,5600 AH,Nederland,http://www.fontys.nl/inkoop
Gemeenschappelijke Regeling Belastingsamenwerking gemeenten en hoogheemraadschap Utrecht (BghU),41723948,Stadsplateau 1,UTRECHT,3521AZ,Nederland,http://www.bghu.nl
Gemeente Hilversum,371795087,p/a J.F. Kennedylaan 100,Baarn,3741 EH,Nederland,http://www.hilversum.nl
Stichting Arcus College,412108079,Valkenburgerweg 148,HEERLEN,6419 AW,Nederland,http://www.arcuscollege.nl
Het Baken Park Lyceum,411680550,Bunuellaan 4,ALMERE,1325PL,Nederland,http://www.hetbaken.nl
GGD Brabant-Zuidoost,141603727,de Callenburgh 2,HELMOND,5701PA,Nederland,http://www.ggdbzo.nl
Hoogheemraadschap Hollands Noorderkwartier,58668320,1703 AZ 1,Heerhugowaard,1703 AZ,Nederland,
Gemeente Lansingerland,60484792,2662 SB 1,BERGSCHENHOEK,2662 SB,Nederland,
Inkoop Uitvoeringscentrum Vreemdelingenketen (IUC-Vk),581657764,2283 ZA 306,Rijswijk zh,2283 ZA,Nederland,
Gemeente De Fryske Marren,53480919,Herema State 1,JOURE,8501 AA,Nederland,http://www.defryskemarren.nl
Stichting Xtra,211645843,Zichtenburglaan 260,S-GRAVENHAGE,2544EB,Nederland,http://www.xtra.nl
Stichting Christelijke Scholengemeenschap Het Streek,422282306,p/a/ Het Onderwijskantoor Akerstraat 104,Heerlen,6417 BN,Nederland,http://www.hetstreek.nl
Groenalliantie Midden-Holland en omstreken,10706998,Overschieseweg 204,SCHIEDAM,3112NB,Nederland,http://www.heerlijkbuiten.nl
GGD West-Brabant,521718727,Doornboslaan 225,Breda,4816CZ,Nederland,http://www.ggdwestbrabant.nl
Gemeente Lansingerland,60484792,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,http://www.lansingerland.nl
Tiwos,2276130,Stationsstraat 24,TILBURG,5038ED,Nederland,
Nuon Power Generation B.V.,402297103,Hoekenrode 8,AMSTERDAM,1102 BR,Nederland,https://portal.commerce-hub.com/index.cfm?action=sourcing:__requestform.subscribe&document=6973EB04-AA93-F2D5-9F67D8C4A6EAE798
Ministerie van Sociale Zaken en Werkgelegenheid,19637402,Parnassusplein 5,Den Haag,2511 VX,Nederland,http://www.rijksoverheid.nl/ministeries/szw
"Gemeenschappelijke Regeling Drechtsteden, Sociale Dienst Drechtsteden",32681913,Postbus 619,DORDRECHT,3300AP,Nederland,https://www.sddrechtsteden.nl/actueel/inkoop-wmo-2015
Cyclus N.V.,17681849,Oostbaan 1090,Moordrecht,2841 ML,Nederland,http://www.cyclusnv.nl
Groningen Airport Eelde,82094205,Machlaan 14,Eelde,9761TK,Nederland,http://www.gae.nl
"Gemeenschappelijke regeling Veiligheidsregio Brabant-Noord, onderdeel Brandweer",32666710,Orthenseweg 2,s-Hertogenbosch,5212 XA,Nederland,http://www.brandweer.nl/brabant-noord/
Centrum voor de Kunsten Eindhoven,271667181,Stratumsedijk 22,Eindhoven,5611 ND,Nederland,
Pro Mereor B.V. (namens deelnemende onderwijsinstellingen),221617327,Burgemeesterweertsstraat 69,ARNHEM,6814HM,Nederland,
Stichting voor Onderwijs op Reformatorische Grondslag,47727860,3818ET 226,AMERSFOORT,3818ET,Nederland,
Gemeente Barendrecht,421705862,Binnenhof 1,Barendrecht,2991 AA,Nederland,http://www.barendrecht.nl
Gemeente Alkmaar,22159309,Mallegatsplein 12,ALKMAAR,1815AG,Nederland,http://www.alkmaar.nl
Gemeente West Maas en Waal,31703272,Dijkstraat 11,Beneden-Leeuwen,6658 AG,Nederland,http://www.westmaasenwaal.nl
SURFmarket,321787224,Radboudkwartier 217,UTRECHT,3511CJ,Nederland,http://www.surfdiensten.nl
Gemeente Soest,11628189,p/a Arcadialaan 36,Alkmaar,1813KN,Nederland,http://www.soest.nl
